ID,DataYear,ReportingStatus,GrossFloorArea,TotalGHGEmissions,GHGIntensity,NumberOfBuildings,ChicagoEnergyRating,ENERGYSTARScore,ElectricityUse,NaturalGasUse,DistrictSteamUse,DistrictChilledWaterUse,AllOtherFuelUse,SiteEUI,SourceEUI,WeatherNormalizedSiteEUI,WeatherNormalizedSourceEUI
251246,2020,Submitted Data,167825.0,,,,3.0,,,,,,,,,,
250002,2020,Submitted Data,349767.0,1299.5,7.4,1,3.0,,5953791.6,6971400.0,,,,73.9,137.1,77.9,141.3
162430,2020,Submitted Data,187689.0,775.8,4.1,1,4.0,86,3124802.2,5425012.1,,,,45.6,77.0,49.0,80.3
159421,2020,Submitted Data,309457.0,,,,0.0,,,,,,,,,,
239695,2020,Submitted Data,406524.0,1813.5,5.0,1,4.0,81,3156806.2,24867980.7,,,,77.8,97.0,82.8,102.1
157602,2020,Submitted Data,403018.0,2333.7,8.5,1,1.5,32,10323384.3,13603403.2,,,,87.6,158.2,90.0,159.4
251237,2020,Submitted Data,136591.0,921.9,6.7,1,2.0,45,2001486.0,11475810.2,,,,98.7,129.2,104.5,135.2
156879,2020,Not Submitted,243200.0,,,,0.0,,,,,,,,,,
251242,2020,Submitted Data,76037.0,335.9,5.3,1,4.0,91,1358105.6,,,,,57.9,98.0,59.6,99.7
255935,2020,Submitted Data,86580.0,501.7,5.8,1,2.0,43,1952011.8,3710472.5,,,,65.4,108.1,67.6,110.5
116716,2020,Submitted Data,53143.0,1254.3,10.9,1,1.0,11,3780912.2,12504795.5,,,,141.9,206.7,147.7,212.1
251461,2020,Submitted Data,77300.0,523.3,6.8,1,3.0,41,2001866.3,3969969.9,,,,77.3,126.4,81.6,131.0
176022,2020,Submitted Data,78136.0,1691.8,21.7,1,1.0,,10636057.2,599697.0,,,,143.8,389.2,144.8,390.3
256663,2020,Submitted Data,275000.0,1750.6,7.8,1,1.5,32,6539879.4,13742321.9,,,,90.1,145.5,94.5,151.3
175257,2020,Submitted Data,48000.0,22.3,0.5,1,4.0,,97426.9,,,,,4.8,8.6,,
104849,2020,Submitted Data,38456.0,285.9,7.4,1,3.0,68,1158995.8,1977413.1,,,,81.6,138.4,83.4,142.3
252267,2020,Not Submitted,139879.0,,,,0.0,,,,,,,,,,
251389,2020,Submitted Data,56857.0,284.3,5.0,1,4.0,69,972862.6,2493320.1,,,,61.0,94.0,65.4,98.6
254571,2020,Not Submitted,88581.0,,,,0.0,,,,,,,,,,
175581,2020,Submitted Data,75940.0,572.5,7.5,1,4.0,,2875271.2,2330265.6,,,,68.5,138.2,69.7,139.5
173858,2020,Submitted Data,130027.0,1014.5,7.8,1,,,6500319.2,,,,,50.0,140.0,50.0,140.0
173774,2020,Submitted Data,80576.0,291.9,3.8,1,4.0,90,1417133.3,1331337.6,,,,36.2,70.7,37.3,72.7
254996,2020,Submitted Data,55030.0,783.1,14.2,1,1.0,,4962555.8,161902.8,,,,93.1,255.6,93.1,255.6
